phrase,context,sentiment
bunny keychain,Good job. Nice selection  some good products. I liked some of the cookies best. Like that it seems you are avoiding sugar alcohols which neither of us can tolerate. We had a coupon that made the pricing very fair and reasonable. Not sure if we can afford to keep it up all year since we only eat about 2/3 of the box. The bunny keychain was cute. I removed the keychain and it's one of my dogs favorite toys (yes  we watch her closely with it).,1
keep them on hand,"Hallmark brand greeting cards. I have purchased these cards before and the quality is Hallmark.  I keep them on hand for the time I didn't have time to grab one or need one unexpectedly.  They are great!  I think they are good for either men or women  despite the ad mentioning for ""women.""  I never hesitate to update my reviews should new info seem useful. All my reviews reflect my honest  personal experience with the reviewed item - your experience may be different.  I receive/accept NO free products or discounts that are not available to all shoppers.",1
boost overall mood,Helpful!. I used to live in the midwest. In the winter  it was dark when I went to work and dark when I came home. I was never diagnosed with SAD  but I believe I suffered from it. I live in the south now and it has been better. Though this winter  we've had a lot of grey days. On those days  it's easy to feel lethargic. This light has been helpful! It provides outdoor light  indoors! It's easy to use. The buttons are on the lower front. This comes with the power brick which was nice. A lot of electronic items I've gotten recently don't come with one any more. I have this light set up in my home office. Not only does it help boost my overall mood  but it gives me a bright work space which I like. The only thing I'm not crazy about is the little stand on the back of it. It feels like it's going to break easily. So far it's doing okay  but when you move it to get it positioned  it seems questionable. Other than that  I am enjoying this lamp.,1
tracking is very good,A Lot of Mouse. I have never used a gaming mouse before. Actually I've looked down on people who did for the same reason I don't like some players being on steroids in major league sports. But now that I'm getting older  my reactions are slower  my fingers are not as quick on the keys and...Oh...I guess I like it for exactly the same reasons athletes love steroids...  But on a serious note.  Mousing and key gnashing do take a toll. I don't know that this mouse is a complete solution to it. But I have had relief of being able to have some things macroed to a single mouse button.  If nothing else  it has created a different movement.  I like the quality of the mouse.  The tracking is very good  the feel is okay  the looks are richly industrial.  I'm not huge on the extending base to the mouse.  I just wish it had been a little bigger to fit my hand  but it fits fine without extending. Personally  a little heavier would feel a little better as well.  All in all I'm very impressed  and wished I had given into &#34juicing&#34 my game a long time ago.,1
lower the sound from the microphone,Great microphone speaker. My son loves to sing so I bought him this for xmas. It was easy to pair up with my iPhone 6s. I was able to play music from my music library or the amazon music app. Great sound. I wasn't sure how to lower the sound though from the microphone. I had to do it from my phone. And I wish there was an option to do a light show instead of just picking one LED color. Love being able to charge using USB instead of batteries. I definitely recommend this bluetooth karaoke microphone.,0
zips up but not around the base,Great for Traveling. This make up brush bag is great for traveling. It's long enough to accommodate assorted sizes of brushes. It zips up  but not around the base. It can be stood up for easy access  but it's not always steady. I like that it's clear vinyl at the top so you can see the contents.,1
stopped and started with it so much,Rich but sad story. The writing was wonderful. The story was often heartbreaking and then a turn for the better would help me to the next chapter. I'm glad I read it  but wished I hadn't stopped and started with it so much.,0
variety and possible variations,Make showstopping desserts on your countertop with minimal effort!. I’m a fairly recent convert to the slow cooker bandwagon I only purchased my first slow cooker a couple of years ago and started out by baking my way through all the desserts in Michele Scicolone’s excellent “The Mediterranean Slow Cooker ” which introduced me to the joys of making flan  cheesecake  and fruit compote in the slow cooker.  Fast forward several years later and I was looking to expand my slow cooker desserts repertoire  so imagine my delight when I got an e-mail from Lisa Ekus that highlighted “Slow Cooker Desserts” by Roxanne Wyss and Kathy Moore! Roxanne and Kathy are cookbook authors  food consultants  cooking teachers and food bloggers who have written seven cookbooks and a popular blog  www.pluggedintocooking.com.  As soon as my copy of “Slow Cooker Desserts” arrived  I couldn’t wait to dig in to the many inviting recipes covering not only cakes and cheesecakes  but also bread puddings  fruits  and candy and fondues. The book opens with a good compact guide to slow cookers  bakeware  and ingredients. The layout is uncluttered and straightforward  and each recipe is followed by helpful tips  making it perfect for novice bakers. The gorgeous photography by Jennifer Davick deserves a special mention as well.  The first recipe I tried was the Praline-Pumpkin Cheesecake. I decided to substitute a gingersnap crust for the graham crackers  and it added the perfect touch of spice to complement the spices in the cheesecake filling. Note that you do need to blind bake the gingersnap crust prior to baking in the slow cooker  but this only adds a few minutes to the prep time. Also  perhaps it was the brand of gingersnaps I used  but I would recommend adding a little extra melted butter until the crust comes together – the recipe calls for 1 tablespoon melted butter for ½ cup crumbs. One thing I would suggest is to also liberally spray the sides of your springform pan as well – mine is supposedly nonstick  but I followed the recipe (which only specifies to spray the bottom of the pan) and a large portion of my cheesecake edges stuck and broke. I normally do spray the entire pan with Baker’s Joy  but I follow the recipes as written when I am testing for reviews.  The finished cheesecake texture is very fluffy and a bit crumbly  so I did have difficulty cutting it neatly I’m not sure if I may have beat TOO much air into my filling and will beat for less next time. The praline topping (made in the microwave in under three minutes) is destined to become my new secret weapon in the kitchen! This homemade caramel was delicious and deceptively easy and would also make a great addition to ice cream or cakes. All combined (gingersnap crust  spiced pumpkin filling  praline topping)  this is a great fall dessert with minimal effort and also frees up your oven for other baking tasks.  The second recipe I tried was the candied cranberry and crystallized ginger chutney this one called my name because I am a certified fiend when it comes to candied ginger. I had a bag of organic cranberries in the freezer that I was looking to use up  so it worked out perfectly that I already had all the ingredients on hand in my pantry (even the ginger liqueur!). My bag of organic cranberries was slightly smaller than the 16-oz. bag called for in the recipe  so I scaled back on the sugar quite a bit as I was using candied ginger (I used ¾ cup sugar in place of the 1 ¼ in the recipe  and it was plenty sweet for me). It also had the bonus of making my kitchen smell amazing as it cooked! I cooked mine down for a little longer the recipe says that it should be thin  but I like my chutney on the very thick side more like a compote. The recipe calls for between 5 to 7 hours on low and I ended up cooking mine for 3 hours on high due to time. This would be fantastic stirred into yogurt  as an accompaniment to Indian food  or even as a side dish in place of jellied cranberries or cranberry sauce at Thanksgiving.  The third recipe was the chocolate cashew clusters. I’d seen slow cooker candy (including nut clusters) pop up in my Facebook feed  but I’d never tried making it before. The recipe uses salted cashews  semisweet and milk chocolate chips  a dark chocolate candy bar  and candy coating to create decadent nut clusters that look like they came from a candy shop. These take about 1 ½ hours on low plus cooling / set time (3 to 5 hours).  Other recipes on my to-make list from “Slow Cooker Desserts” include the cinnamon-calvados applesauce  rice pudding with cherries  and many of the cheesecakes (brownie chunk  German chocolate  ginger-peach  coconut cream) and cakes (cider-glazed apple-walnut cake  Southern sweet potato cake  pineapple butter cake). There is enough variety and possible variations (I need to find a way to make a cookie butter cheesecake!) to keep you happily baking for months to come.  (Thank you to Lisa Ekus for the review copy!),1
great purchase,Good purchase.... Not unhappy with this purchase at all...... Needs more bass but otherwise a great purchase.,1
initial,Great Set!. A few weeks ago  my children and I started crafting with resin. One of our friends saw our initial pieces and requested an initial. Well  we needed a new mold then! This is a great mold that has all of the letters A-Z and digits 0-9. The molds aren't too shallow so the finished letters are a good thickness. The set also comes with some fun accessories such as the tassels and key rings. There's also some glitter and a tool for putting the holes in to the finished letters. I ended up ordering some different key rings  because I wanted clips so we could clip our initials to our bags if we wanted. Overall  this is a fun set to have.,1
highly recommend,Highly recommend. Love this box!,1
company logo on the back of every piece,Animal Crossing Vibe. This cat island puzzle has an Animal Crossing vibe to it. The image is fun and colorful  plus it has lots of cats! The pieces are a good size and cut well. I didn't notice any puzzle dust. I did not care for the company logo being on the back of every piece. That actually made it a little more difficult to sort because you had to look at both sides to make sure you were putting the right side up. It doesn't come with a poster of the image either. I really appreciate that addition to puzzles. It's a pain to have to hold the box in your hand just so you can see where things go. The full image is on the bottom of the box. The lid has a blown up picture that doesn't show everything. Plus  the brand logo is on both of the images. They really are pushing their logo on us!! They do include a business card size picture of the puzzle but that's really impossible to use because it's so small.,0
Moisturizing,Moisturizing. I've been using this cream primarily around my eyes. It's a thin consistency and is more like a lotion than a cream. It has a light pleasant scent. Most importantly  it doesn't irritate or sting my eyes. I've had several eye creams that when my eyes tear or if I sweat  it runs into my eyes causing some stinging or burning. This does not  so that is quite good. It's a gentle  moisturizing product.,1
Not what I thought,Is straight. It's aight. Not what I thought it was gone be. Ion be out at night so want get to enjoy color changing.,0
honest personal experience,"Hallmark brand greeting cards. I have purchased these cards before and the quality is Hallmark.  I keep them on hand for the time I didn't have time to grab one or need one unexpectedly.  They are great!  I think they are good for either men or women  despite the ad mentioning for ""women.""  I never hesitate to update my reviews should new info seem useful. All my reviews reflect my honest  personal experience with the reviewed item - your experience may be different.  I receive/accept NO free products or discounts that are not available to all shoppers.",1
turquoise (smooth) and copper colored (hammered),Two-toned delight!. These two toned faux hammered earrings are delightful. These are turquoise (smooth) and copper colored (hammered). They are hand-painted/handmade. The posts are stainless steel and nickel free. I have sensitive skin and didn’t notice any irritation or redness. While the packaging is simple  I did like that it included a “thank you” label on the box. These earrings are very classy and can be worn everyday. Overall  these are some cute earrings for under $16.,1
USB C cords,USB C cords. If you just purchased the latest gen of android cell phone (for me  the Samsung S10+) you will need a new type of charging cords... they do charge on the cord free units - but if you're away from those  you will need these cords.  There is also a micro usb to usb C adapter - will save you a few bucks - but eventually you'll want new cords. These work great so far - however  I never hesitate to update my reviews should new info seem useful.,1
wobble when adjusting the mount,"Decent arm hampered by a couple issues. [[VIDEOID:943921a96fbe3453c9c79a9de29a598]] I've been using the arm for a few days  and I have a few thoughts about it.  First  the good. The arm is quiet  the covers work well to cover the springs  and it holds my Samson Q2U in place without issue.  Next  the meh. The base of the mount is plastic  and with that  there is a wobble (see video) when adjusting the mount  which is not something I'd expect at this price point.  Another issue is with the base clamp. While the clamp itself is sturdy and padded so as not to hurt your desk  there is an ""overhang"" (maybe for use as a headphone holder?)  which severely limits where you can put the mount. As a result  I couldn't put the mount on either side of my desk (my preferred location  and instead had to put it in the computer bay at the front.  Overall  this isn't a terrible arm  and if you can get past the issues I mentioned above  I'd recommend it.",0
pain to have to hold the box in your hand,Animal Crossing Vibe. This cat island puzzle has an Animal Crossing vibe to it. The image is fun and colorful  plus it has lots of cats! The pieces are a good size and cut well. I didn't notice any puzzle dust. I did not care for the company logo being on the back of every piece. That actually made it a little more difficult to sort because you had to look at both sides to make sure you were putting the right side up. It doesn't come with a poster of the image either. I really appreciate that addition to puzzles. It's a pain to have to hold the box in your hand just so you can see where things go. The full image is on the bottom of the box. The lid has a blown up picture that doesn't show everything. Plus  the brand logo is on both of the images. They really are pushing their logo on us!! They do include a business card size picture of the puzzle but that's really impossible to use because it's so small.,0
cashback for every loadup,Cashback for every loadup will make this v attractive. Its an awesome idea if Amazon can look into a permanent 5-10% cashback for loyal reload every time.,1
eyeshadow,I really hope this service and products improve in my next box!. I recieved 4 items plus a makeup bag with my first month of this subscription. The description of what is supposed to come in each months box clearly stated that there were supposed to be 5 (five) full sized products  consisting of all lip products and one random makeup item. I received a full sized lip liner  a normal sized lipstick and very small  what I would call sample size lip scrub and eyeshadow. They were extremely small. Also  the lipstick was smudge proof  but remained SO sticky the entire time I wore it. I mean  my lips kept sticking together and even stuck to my napkin when I wiped my mouth. I didn't like it. The price is not bad  and I'm going to continue my subscription for a few more months to see if the products improve  but if they remain consistently poor  then the value isn't actually good for the price and I will cancel.,0
pacing keeps you on the edge of your seat,I greatly enjoyed Auntie Poldi and the Sicilian Lions. As a huge fan of the inspector Montalbano series and other international detective stories  I greatly enjoyed Auntie Poldi and the Sicilian Lions.  The pacing keeps you on the edge of your seat  and  although some elements require you to seriously suspend credibility  overall this is a highly entertaining romp.  Beautiful Sicily is the real star here   and you’ll find plenty of romance and hijinks with the high-spirited German expat Auntie Poldi  who has a few tricks up her fashionable sleeve  and who has set her sights on hunky police detective Vito Montana  and the tension between the two simmers and sizzles for much of the book.  The daughter of a German police detective  Poldi possesses great instincts and a knack for sleuththing that has her trying to find a killer involved with the mafia.  I can’t wait to read more of her adventures in the second book Fruits of the Lord.,1
loaded with antioxidants,Another great L'Oreal product!. I love L'Oreal products and have been using them for years. This daily moisturizer is great. It is loaded with antioxidants and contains a lot of great anti-aging ingredients. I have been using this daily for over a month now and I love the way my skin looks and feels. If I had any complaints it would be that I would have liked a higher than 25 SPF for use down here in Florida (so I ave to supplement it with additional sunscreen when I leave the house. Outside of that  this is a really nice moisturizer which goes on lightly and is quickly absorbed. Highly recommend.,1
adds a little something extra,Looks good. Looks perfect on the truck  adds a little something extra!,1
fit snug,This zipper is hard to zip. This feed back is for the BERTER Women's Sauna Suit Sweat Body Shaper Vest for Waist Trainer Zipper Neoprene Tank Top for Exercise Gym Workout Suit Fitness Weight Loss.  I expected it to fit snug  but the zipper is a struggle and then the part that was zipped unzipped going down from the bottom of the zipper before I finished zipping it.  Maybe  the sizing is off  but I feel like if the zipper would have worked properly  it would have done its job.,1
a little on the short side,Pretty shirt a little on the short side. Really nice shirt. A little thicker material than I thought (polyester)  but the colors are really pretty and virant and it lays off my shoulders nicely. If I had any complaint at all I wish it were longer. I tend to like a t-shirt which comes down almost to cover my butt  this stops at about half way down my stomach. So keep that in mind if you are looking to hide a couple of extra pounds (this isn't the shirt for that).,0
witches,"Sims 2 goes out with a bang. The ""unofficial"" word is that Apartment Life will be the final expansion pack for the Sims 2 line. I don't really know if that's true  but if so Apartment Life closes the series on an up note.  Along with Seasons and Nightlife  Apartment Life is one of my favorite expansions. I really like the apartment feature  it's been long overdue. It's so much easier now to start off a sim newly graduated from University by having them live in an apartment. It's so much easier to get them suitable living quarters.  I am so glad we finally have spiral stairs and playground equipment. They were both very much needed 4+ expansions ago.  The social townies can be kind of annoying in a way  but the reputation feature is nice. One thing I don't like is how the new social greetings will mess up the greetings from locals at the Bon Voyage vacation neighborhoods. It's very rare now for my locals to do their normal greetings  instead they do the new social ones and my vacationing sims have a harder time of meeting the ""learn local greeting"" want without cheating on my part. But it's a minor frustration.  Witches are pretty interesting. I like the neutral spells but some of the evil and good witch spells are kind of blah. Plus  I'm really not into the skin overlays with the evil and good witches. I don't like the green or sparkly skin so I use a mod to stop it. But overall I do like the witches and am glad we have them. They're the only paranormal creature in the Sims 2 line I've had more than a passing interest in.  Apartment Life is a great EP and given the choice I'd gladly buy it again. I think it will keep my creativity & gameplay with Sims 2 going for a very long time.",1
not a real snow globe,Nice  but don't expect a snow globe!. Was disappointed when I had to reorder it because it got lost then itcame(the 1st one) so I had to send it back. Was also disappointed because I thought it was a real snow globe. Should have read up on it. My fault.,0
Amazon took care of everything,Great Music great price. It is a great cd!! Had a in issue with shipping and Amazon took care of everything.,1
recipes,Food Network Magazine. Love it! I read the articles  the recipes  everything. Definitely suggests delicious meals at home cooks can complete.,1
Nice handle,works as intended. Husband reports that it is as represented.... solid.  Nice handle.  Will work as intended  in our case making and breaking down shelving.,1
extend it at an angel,"Helpful Around Home. I'm 5'6""  so I'm not short  but our kitchen cabinets are way out of my reach. I hate having to drag the step stool in just to reach things on the top shelf. This tool is very helpful in those situations. And it's much smaller than the step stool and fits nicely in the pantry. I like that you can rotate the part that grips onto items. I also like that you can extend it at an angel is you want. It works pretty well for most items. I have found that the claw part (for lack of the official term) doesn't expand enough to fit around some things. I was trying to reach the container of salt so I could refill the shaker and it barely fit around that. Other than that  I like it.",1
Cute,Cute. Got for grand son. He likes them. Lots of fun times. No issues,1
quality made,Really nicely made boat shoes!. For the money  these are really nice boat shoes. I love the color and the canvas material and they fit my husband's size 10 feet perfectly. He has several other boat shoes in his wardrobe  but almost all cost twice at what these shoes are currently priced.  Really nice shoes  quality made  reasonably priced. Highly recommend!,1
Sam Cooke,Britain does it again!. What started out as a uniquely American genre  that of blues  soul  and gospel  has somehow managed to become the creative property of Britain ... ever since the decline of classic Motown  Britain has been churning out an amazingly talented bunch of blue-eyed soul singers and blues musicians. One of the more recent additions is James Hunter  who first burst onto the scene under the stage name Howlin' Wilf in the 1980s ([[ASIN:B000HOJNI4 Cry Wilf!]]). His several solo recordings are strongly influenced by R&B  early rock and roll  and soul. His 1994 debut Believe What I Say includes guest performances by Van Morrison (Hunter also appeared on several of Van's albums during the '90s and was part of Morrison's Rhythm & Blues Revue).  Believe What I Say opens with the jivin' Two Can Play  with its sassy staccato sax riffs punctuating this tale of infidelity. Hunter's smooth  sensual update of torch song The Very Thought Of You comes off as more late-night smoky jazz  with a delivery that Ray Charles would be proud of. Turn On Your Love Light features a smokin' duet with Van Morrison.  One of the few covers is Ray Charles' Hallelujah I Love Her So. Compared to Charles' original  which leaned towards Big Band brassy  Hunter's backing saxes sound the same on every track  and I felt the instrumentals lacking punch in the first half  but the bridge (with guitar) redeems the song and gospel feeling creeps in toward the finale.  Out of Sight is a tight soul ditty that pays homage to James Brown with its knockout brass/drum punches. Hear Me Calling has some hand-waving gospel vibes going  complete with call-and-response chorus.  The majority of the songs sound like they could have come off the radio from the mid-'50s to late '60s. They're pleasant enough  but the sameness of the backing detracts from the potential to differentiate between tracks. Hunter's writing chops create songs that feel authentically retro. His singing voice combines elements of Ray Charles and Sam Cooke  and his guitar shows heavy influence from Chuck Berry and legendary blues guitarists such as B.B. King.  Hunter has continued to polish his sound on his subsequent solo releases [[ASIN:B0000259AM Kick It Around]] and [[ASIN:B000E1NX1S People Gonna Talk]]  but it's enjoyable to hear his first solo work after his turn with Howlin' Wilf and the Vee-Jays. He's one of the most authentic of the current crop of blue-eyed soul artists  and really inhabits that long-lost R&B/soul/blues era as if it were only yesterday instead of decades ago.,1
thick,Wow. These christmas bags were super thick.  Very worth the money especially since I received a discount.,1
thin & scratchy,Cheaply made  loose threads  thin & scratchy. Title says it all  really. It's thin  it's a very loose knit  there are loose threads everywhere... it's on the wider side so it won't stay up over your nose or keep your neck warm  although wearing it as a hood  around your head   or as balakava is ok. It's more expensive than and less nice than similar products from other brands. Washing it did make it a bit softer  but I have no idea how a reputable brand that is so popular can also be so cheap and poorly made.,0
Great colors,Super projecting lights for all party uses! Amazingly good!. This is a super cool product. I live in a new 'cool' 55 and older community in the Daytona Beach area and we have parties at neighbor homes several times a week. When I first set these up I wasn't sure what to expect. But after seeing the  variety of lights  patterns and speeds I knew this would be a hit. We had a Motown party last weekend and this projector was the highlight of the night! Great colors  great remote control capability and even responds to voice commands. This would be a great addition to any home (young or old) for use when there is a party to be had. I definitely highly recommend this gadget for all ages and holidays!,1
Received lots of compliments,Gorgeous time piece!  It's timeless. I haven't figured out how to get it programmed but it's a stunning watch piece.  Definitely an eye catcher.  Received lots of compliments.  If anyone can send me directions on how to program  that would be much appreciated.  Absolutely love this gorgeous watch!,1
son loves,He said they are comfortable and the sound is good. My son loves these.  He said they are comfortable and the sound is good.,1
gets the AirPods very warm,Weak Magnet. This charges a phone very quickly but that is about the only positive thing about it.  The magnet is not very strong at all.  Barely holds onto a 14 pro max with a MagSafe case on it.  Barely bumped the phone will fall.  Works a little better with a 14 mini.  The AirPod charger charges very slow even though it gets the AirPods very warm.,0
stay closed,diamond drill organizers. I usually have several projects going at one time.  These boxes are a life saver to me as I can load them - I number the boxes with the color legend and makes it so easy!  They are easy to fill and use with your trays. They stay closed - so far anyway and I've used them over and over. Having said that.. I never hesitate to update my reviews should new info seem useful. At this point  I would purchase these again if I needed more.,1
compliments when wearing,Five Stars. So soft and comfortable. Always get compliments when wearing!,1
vacuum head tilts and moves,This Vacuum Sucks!. This is my 3rd Shark cordless vacuum. We have 3 floors in our home and now we have one Shark on each floor. Our lower 2 floors are hard surfaces  but the top floor is still carpeted. We want to get hard surfaces up there  but it will be a large undertaking to do so because of all the staging that has to be done while working. Because of the carpet  we have put this Shark upstairs. Prior to this  we were using a traditional vacuum. It's definitely portable. I love not having to deal with the cord and outlets. It's heavier than the other 2 Shark models we have because of the canister. However  it's still lightweight enough that I can maneuver easily with it. The first time I used it  I hadn't intended to remove the canister  but I ended up doing so. I found it easy enough to vacuum with one hand and carrying the canister in the other. The suction is strong enough to pick up dry cat food that gets left around the upstairs feeding station. (We have an elderly cat that's not very mobile  so we keep him upstairs and he's a bit messy.) It also did a good job of picking up the cat litter that gets displaced from the litter box. The head of the vacuum (not sure if that's the correct term  but I'm referring to the part that moves around w/wheels and does the sucking) tilts and moves as you are vacuuming. This was particularly helpful when vacuuming on the stairs. I tried this on the hardwoods on the main floor. It easily picked up the leaves by the front door that made it into the entry way. I really like the display on the machine that shows you how much battery is left. I was able to do all of the upstairs (4 bedrooms)   the stair case  and the entry way and there was 60% battery life remaining. We are happy to get rid of the old traditional style vacuum. This is a major upgrade for us!,1
bulky,Good brightness levels  battery life is really good. clip a bit weak.. After trying/owning other portable  battery-operated lights & lamps  have to say this is my favorite for its reliable output of light and its sturdiness. Its battery life is pretty good too. The only thing I wish were better is the 'clip'. Depending on the surface its attached to  it does not always hold well. It (clip) is small but also rather bulky and not very strong to give good support to the bulkiness of the light.,0
love this box,Highly recommend. Love this box!,1
flimsy,It does hold the S pen. If the case was just to hold the S pen this case would get 5 stars but in protection for the phone forget that. No shock walls the case is way too flimsy. And make sure you buy the right S pen. You need the pen made the S21 ultra. I wanted to like the case. The case I have used most is the Speck Presidio 2 Grip.,0
I wish the mute and volume were on the cable instead the headset.,Nice value gaming headset.. Pros: Fit will over my ears. Good clean sound. Mic works well and does not pick up background noise. Nice design  they remind me flying headphones. Comes with volume and mute controls. Comes with audio adapters for PC or mobile device.  Cons: Only con so far is I wish the mute and volume were on the cable instead the headset.,0
had trouble getting nice sounds from it,I love this ocarina! So pretty and easy to use. The manual is very helpful!. Love this will practice til I can get Saria's song and Song of Storms at the very least! (Was a little dissapointed that last one wasn't on the music sheet). I am so glad with the sounds I could get from this on my first try though! I had another ocarina but it wasn't a 12 hole it was a 6 hole I believe and I had trouble getting nice sounds from it it felt a lot different from this one! I am truly in love the design is so good and pretty I did find a few spots that weren't very well painted though but overall I am totally in love with my new Ocarina &#603,0
use it everyday,Love it. Use it everyday.,1
easy to subscribe,Flea Market Magazine. Amazon made it very easy to subscribe to this magazine! Perfect!,1
easy to install,It’s easy to install. Last long and works great,1
loved this book,The Commander. I loved this book  I could not stop reading it  I even was late coming back from lunch at work because it is that good. I want more  please.,1
good game,My daughter loves it she's a black dog on the game. My daughter loves it good game🐶🐶🐶🐶,1
exceeded my expectations,The Rosie blanket for my Rosie Grace 🌹. Oh it’s fabulous  exceeded my expectations! Got it for my senior furbaby but would recommend it for a baby as well.,1
planned vacations around Archaeology's articles,"Ahhhh ... my favorite magazine. I'm not an archaeologist. If I was born redundantly wealthy I think that I might have been one.  Archaeology is my ""stop everything and read it on the day it arrives"" magazine. I've been a subscriber for years. I read EVERY article. As a reader of archaeology and paleontology tomes  this magazine is the adjunct to my selections of books to read. My wife and I have planned vacations around Archaeology's articles.  I've detoured business trips to take in a visit to several article sites.  During a cross country moving event 7 years ago  I let the subscription expire for lack of new address. Someone from Archaeology  not a telemarketer for sure  called me and said that I had been such a long term customer that they really wanted to know why I didn't renew ... was it something about the magazine quality? The voice on the other end was just so dang disappointed as she pleaded for feedback that it was stunning enough for me to remember 7 years later. The magazine must be read by a small but dedicated subscriber base and I think the magazine staff themselves makes the calls.  My only complaint is that it only prints every 2 months. If archaeology is among your interests  you would entertain your fancies with a subscription.",1
satisfying,Great protein drink  satisfies and is good for you. This is my new favorite mid-afternoon protein drink. I take it with me to work and have a tasty  satisfying treat that is good for me and satisfies my hunger and sweet cravings. When I am not working  I take a bottle of this and pour it in my Ninja along with some fresh blueberries and strawberries and some ice to make the most amazing smoothie. I love that something that tastes so good and gives me the nutrients that my body needs. Highly recommend this for everyone.,1
love them,"Simple but lovely baby milestone markers. These milestone circles are lovely and nicely made. There are a total of six 10 ""wooden place cards"" blocks that include all the months  with the 12th month saying ""my first birthday "" and various achievements (like the first smile). They are double-sided so that month 4 is on the opposite side of month 3.  They are used as milestone markers when taking pictures during a child's 1st Christmas  ages  etc. There are any number of combinations available. In general I love them and they are two-thirds cheaper than [[ASIN:B091XJK27X milestone blocks]].  The current price of $9.99  comes to $.50 cents per milestone or $1 per double-sided place card circle.",1
packs easily,Great portable flosser. This portable flosser works considerably well. I took it with me on a trip to visit my grandkids recently. It packs easily and does the job of getting loose food particles between my teeth. To be honest  I also have a Sonicare flosser that has a much stronger water flow which I do prefer  but this is a lesser expensive way to get the job done and it is a handy size for traveling. So  I will be using this one when I am on the go as a way to maintain my oral health.,1
adventures in the second book Fruits of the Lord,I greatly enjoyed Auntie Poldi and the Sicilian Lions. As a huge fan of the inspector Montalbano series and other international detective stories  I greatly enjoyed Auntie Poldi and the Sicilian Lions.  The pacing keeps you on the edge of your seat  and  although some elements require you to seriously suspend credibility  overall this is a highly entertaining romp.  Beautiful Sicily is the real star here   and you’ll find plenty of romance and hijinks with the high-spirited German expat Auntie Poldi  who has a few tricks up her fashionable sleeve  and who has set her sights on hunky police detective Vito Montana  and the tension between the two simmers and sizzles for much of the book.  The daughter of a German police detective  Poldi possesses great instincts and a knack for sleuththing that has her trying to find a killer involved with the mafia.  I can’t wait to read more of her adventures in the second book Fruits of the Lord.,1
small birds will not eat the peanuts,MOSTLY PEANUTS. This product is mostly peanuts. The small birds will not eat the peanuts. I have mostly sparrows and I came outside to find the small amounts of seeds  in the mixture  all gone. The peanuts were still in the feeder. Birds did not eat. I was surprised as I thought birds would eat anything. But they will not eat these huge peanuts. I would not recommend this product for smaller birds. I can buy a bag of peanuts for a lot cheaper  if I did not want the birds to eat them.,0
looks exactly like the picture,I love this my new sword letter opener! &lt3. Arrived ultra fast and looks exactly like the picture I have not yet opened it/taken it out because it's for a gift but it looks like it works fine &#603 I loved it the moment I saw it looks very realistic and unique &#603,1
weird taste,No weird taste.. Nice blend of sweet & salty without the chalkiness. Soft chew. It's good!,0
easy to install,Read instructions and unplug electricity before installation.. What’s easy to install. Instructions were easy to understand.,1
Love these pillows,Love these pillows….I recommend.. Not too high or low comfortable.  Nice alternative to downe.,1
fast arrival,Arrived ultra fast and in good conditions. Also perfect christmas gift.. I love this! I bought it as a gift and it turned out to be the perfect gift so far I think overall great buy also arrived ultra fast I love this &#603 Perfect,1
fabric is a lightweight chiffon-like fabric with a hint of stretch,"Ring the Alarm!!!. Someone should call the cops because looking this good should be a crime. This jumpsuit is oh-so-glam! I honestly can't believe how great it looks for the price. The fabric is a lightweight chiffon-like fabric with a hint of stretch. As a woman with rippled thighs  I was concerned about the combination of a light color and a thin fabric. No worries!! There's no show-through even though the pants are unlined. If you're a larger cup size  you'll probably need to wear a tube top or bandeau under this for more coverage. I'm not judging if you want to show off your goodies. The belt is long enough to wrap around twice. I did this for extra cinching. The color I chose is more of a sage green than a true mint. Pay close attention to the size chart. I found it to be very accurate. For fit reference  I'm 5'6""  153lbs and a 34G bra size. I'm wearing the X-Large.  Thanks so much for taking the time to read this review. I hope the information that I've provided makes your decision a little easier.",1
lots of twists,Great read!. Loved this book! It was fast paced and suspenseful  with lots of twists. Will need to read more from this author!,1
nice fitting,Nice Cotton Boxer Briefs. These have nearly everything I look for in boxer briefs.  They are tagless  comfortable  nice fitting  and look nice.  The only thing that is missing is a fly hole which is a bit annoying  but forgiveable if everything else is good.  And everything else is good.  I have put two through the wash and they look good and given the quality feel of them  I would expect that they will last well.,1
uncomfortable for all day wear,Socks come over knee the strong compression makes them uncomfortable on me for all day wear. I love the color of these compression socks. I ordered the small/medium size even though I should have ordered a large because I take a size 9 to 9.5 shoe. Nevertheless  these fit me perfectly and the large would have been too big. The compression is strong  so I do find these difficult to wear all day.  The only thing I do not like about these socks is that they come up to my lower thighs which requires me to fold them over to get them below my knees.,0
needed for the holidays and could not send back,Design Flaw. Beautiful cake plate. Gave it a three star because there is a flaw in the plate. The defect is very visible  but I needed for the holidays and could not send back.,0
no water in my eyes,Fits well  no leaks. Love it!  This mask doesn't leak.  No water in my eyes  it fit comfortably.  It doesn't slip.  I recommend this mask.  We use it in the swimming pool,1
fit runs a bit small,Runs a Bit Small. These are good leggings for all types of workouts. The fabric is very soft and stretchy. There's good tummy control. The waistband may roll down a bit while doing some exercises. The fit runs a bit small. I sized up for comfort.  Thanks so much for taking the time to read this review. I hope the information that I've provided makes your decision a little easier.,0
comfortable,Nice hoodie. It's comfortable and the color is true. Nice hoodie.  It's comfortable and the color is true.  I would have made the strings a different color  other than white.  It makes them stand out too much.,1
